Countries and regions,Gender ,Age,Food and Water,Coffee Decaf,Instant Coffee,Natural Coffee,Green tea,Fruits,Vegetables ,Milk,Grains,Meat least,Sugar,Economy GDP ,Percentage employed,Education/ Innovation,Happiness (2005-2026),Sleep,Fitness Activity,Sunlight/tempreture/least,Environment Health,"War and corruption, mental instability lower the worse",Population number,Vaccines ,Death and reproduction and disability metric/life expectancy ,Covid(2019-2021),Viruses,Infant/iron and pathogens Disease,Weight and Metabolism,Heart,Lungs,Cancers,Accident ,Mental Health 
North European ,Male,infant,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0,0,0.55,0.4,0.5,0.85,0.44,0.4,0.012,0.45,0.44165,0.55,0.3296,0.3296,0,0,0,0,0.07,0
North European ,Male,child,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.0515,0.45,0.455,0.55,0.08,0.08,0,0,0,0.02,0.1,0.3
North European ,Male,teenager,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.239,0.45,0.455,0.55,0.08,0.08,0,0,0,0.02,0.1,0.3
North European ,Male,adult,0.455,0.5725,0.535,0.585,0.585,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.47,0.45,0.6,0.55,0.15,0.15,0.25,0.18,0,0.2,0.3,0.5
North European ,Male,elder,0.455,0.6225,0.585,0.635,0.635,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.12,0.45,0.615,0.55,0.02,0.02,0.35,0.5,0.1,0.3,0.1,0.05
North European ,Female,infant,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0,0,0.55,0.4,0.5,0.85,0.44,0.4,0.014,0.45,0.445,0.55,0.31,0.31,0,0,0,0,0.05,0
North European ,Female,child,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.048,0.45,0.46,0.55,0.08,0.08,0,0,0,0.2,0.05,0.4
North European ,Female,teenager,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.227,0.45,0.46,0.55,0.08,0.08,0,0,0,0.2,0.05,0.4
North European ,Female,adult,0.455,0.5175,0.48,0.53,0.53,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.48,0.45,0.6,0.55,0.05,0.05,0.15,0.1,0,0.7,0.2,0.3
North European ,Female,elder,0.455,0.5675,0.53,0.58,0.58,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.2,0.45,0.6125,0.55,0.01,0.01,0.3,0.4,0.05,0.5,0.15,0.01
South European ,Male,infant,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0,0,0.8,0.75,0.5,0.81,0.75,0.87,0.0214,0.78,0.295,0.62,0.15,0.22,0,0,0,0,0.02,0.15
South European ,Male,child,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0,0.55,0.8,0.75,0.5,0.81,0.75,0.87,0.1134,0.78,0.33,0.62,0.03,0.24,0.01,0,0.04,0.06,0.15,0.35
South European ,Male,teenager,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.8,0.75,0.5,0.81,0.75,0.87,0.47,0.78,0.33,0.62,0.03,0.24,0.01,0,0.04,0.06,0.15,0.35
South European ,Male,adult,0.455,0.6225,0.6725,0.61,0.5875,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.8,0.75,0.5,0.81,0.75,0.87,0.94,0.78,0.4,0.62,0.01,0.02,0.04,0.04,0.06,0.1,0.26,0.5
South European ,Male,elder,0.455,0.6725,0.7225,0.66,0.6375,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.8,0.75,0.5,0.81,0.75,0.87,0.45,0.78,0.48,0.62,0.0001,0.0001,0.5,0.4,0.01,0.6,0.2,0.1
South European ,Female,infant,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0,0,0.815,0.75,0.5,0.81,0.75,0.84,0.0205,0.78,0.295,0.62,0.07,0.3,0,0,0,0,0.15,0.1
South European ,Female,child,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0,0.55,0.815,0.75,0.5,0.81,0.75,0.84,0.1035,0.78,0.33,0.62,0.03,0.1,0,0.01,0,0.02,0.09,0.4
South European ,Female,teenager,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.815,0.75,0.5,0.81,0.75,0.84,0.44,0.78,0.33,0.62,0.03,0.1,0,0.01,0,0.02,0.09,0.4
South European ,Female,adult,0.455,0.5675,0.6175,0.555,0.5325,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.815,0.75,0.5,0.81,0.75,0.84,0.92,0.78,0.445,0.62,0.01,0.01,0,0.01,0.04,0.1,0.15,0.55
South European ,Female,elder,0.455,0.6175,0.6675,0.605,0.5825,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.815,0.75,0.5,0.81,0.75,0.84,0.47,0.78,0.49,0.62,0.001,0.001,0.26,0.25,0.04,0.3,0.05,0.25
Africa,Male,infant,0.345,0,0,0,0,0.55,0.5,0.005,0.9,0.7,0,0.75,0,0,0.2,0.6,0.2,0.1,0.27,0.38,0.0216,0.05,0.585,0.04,0.25,0.65,0,0,0,0,0,0
Africa,Male,child,0.345,0,0,0,0,0.55,0.5,0.005,0.9,0.7,0,0.75,0,0.2,0.2,0.6,0.2,0.1,0.27,0.38,0.109,0.05,0.576,0.04,0.15,0.5,0,0.01,0,0,0.2,0.1
Africa,Male,teenager,0.345,0,0,0,0,0.55,0.5,0.005,0.9,0.7,0,0.75,0.58,0.2,0.2,0.6,0.2,0.1,0.27,0.38,0.37,0.05,0.576,0.04,0.15,0.5,0,0.01,0,0,0.2,0.1
Africa,Male,adult,0.345,0.2725,0.1625,0.17,0.2175,0.55,0.5,0.005,0.9,0.7,0,0.75,0.58,0.2,0.2,0.6,0.2,0.1,0.27,0.38,0.32,0.05,0.605,0.04,0.2,0.3,0.1,0.1,0.02,0,0.2,0.2
Africa,Male,elder,0.345,0.3225,0.2125,0.22,0.2675,0.55,0.5,0.005,0.9,0.7,0,0.75,0.58,0.2,0.2,0.6,0.2,0.1,0.27,0.38,0.028,0.05,0.75,0.04,0.3,0.2,0.4,0.4,0.1,0.28,0.15,0.12
Africa,Female,infant,0.345,0,0,0,0,0.55,0.5,0.005,0.9,0.7,0,0.75,0,0,0.2,0.6,0.2,0.1,0.25,0.47,0.0211,0.05,0.585,0.04,0.25,0.65,0,0,0,0,0,0
Africa,Female,child,0.345,0,0,0,0,0.55,0.5,0.005,0.9,0.7,0,0.75,0,0.2,0.2,0.6,0.2,0.1,0.25,0.47,0.1,0.05,0.5715,0.04,0.3,0.45,0,0.01,0.05,0,0.1,0.1
Africa,Female,teenager,0.345,0,0,0,0,0.55,0.5,0.005,0.9,0.7,0,0.75,0.58,0.2,0.2,0.6,0.2,0.1,0.25,0.47,0.36,0.05,0.5715,0.04,0.3,0.45,0,0.01,0.05,0,0.1,0.1
Africa,Female,adult,0.345,0.2175,0.1075,0.115,0.1625,0.55,0.5,0.005,0.9,0.7,0,0.75,0.58,0.2,0.2,0.6,0.2,0.1,0.25,0.47,0.31,0.05,0.61,0.04,0.4,0.25,0.02,0.02,0.05,0,0.1,0.25
Africa,Female,elder,0.345,0.2675,0.1575,0.165,0.2125,0.55,0.5,0.005,0.9,0.7,0,0.75,0.58,0.2,0.2,0.6,0.2,0.1,0.25,0.47,0.0283,0.05,0.7525,0.04,0.15,0.15,0.4,0.4,0.15,0.3,0.01,0.15
Middle East ,Male,infant,0.325,0,0,0,0,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0,0,0.5,0.2,0.15,0.65,0.29,0.6,0.0679,0.55,0.405,0.15,0.15,0.55,0,0,0.02,0,0.2,0
Middle East ,Male,child,0.325,0,0,0,0,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0,0.34,0.5,0.2,0.15,0.65,0.29,0.6,0.32,0.55,0.434,0.15,0.01,0.09,0.15,0.15,0.05,0,0.3,0.3
Middle East ,Male,teenager,0.325,0,0,0,0,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0.51,0.34,0.5,0.2,0.15,0.65,0.29,0.6,1.25,0.55,0.434,0.15,0.01,0.09,0.15,0.15,0.05,0,0.3,0.3
Middle East ,Male,adult,0.325,0.465,0.435,0.5475,0.5475,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0.51,0.34,0.5,0.2,0.15,0.65,0.29,0.6,1.77,0.55,0.58,0.15,0.001,0.03,0.25,0.25,0.04,0.05,0.65,0.25
Middle East ,Male,elder,0.325,0.505,0.485,0.5975,0.5975,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0.51,0.34,0.5,0.2,0.15,0.65,0.29,0.6,0.25,0.55,0.6045,0.15,0.0001,0.001,0.6,0.65,0.3,0.3,0.1,0.05
Middle East ,Female,infant,0.325,0,0,0,0,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0,0,0.5,0.2,0.15,0.65,0.29,0.55,0.0678,0.55,0.405,0.15,0.15,0.45,0,0,0.01,0,0.3,0
Middle East ,Female,child,0.325,0,0,0,0,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0,0.34,0.5,0.2,0.15,0.65,0.29,0.55,0.328,0.55,0.434,0.15,0.02,0.08,0.1,0.1,0.03,0.02,0.3,0.5
Middle East ,Female,teenager,0.325,0,0,0,0,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0.51,0.34,0.5,0.2,0.15,0.65,0.29,0.55,1.18,0.55,0.434,0.15,0.02,0.08,0.1,0.1,0.03,0.02,0.3,0.5
Middle East ,Female,adult,0.325,0.36,0.38,0.4925,0.4925,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0.51,0.34,0.5,0.2,0.15,0.65,0.29,0.55,1.66,0.55,0.57,0.15,0.01,0.05,0.2,0.2,0.04,0.1,0.3,0.5
Middle East ,Female,elder,0.325,0.41,0.43,0.5425,0.5425,0.6,1.1,0.05,0.15,0.65,0.9,0.55,0.51,0.34,0.5,0.2,0.15,0.65,0.29,0.55,0.2,0.55,0.605,0.15,0.000001,0.02,0.6,0.55,0.1,0.25,0.1,0.3
Asia,Male,infant,0.225,0,0,0,0,0.7,1,0.1,0.85,0.2,0.5,0.8,0,0,0.51,0.1,0.17,0.31,0.5,0.78,0.06,0.72,0.29,0.15,0.05,0.45,0,0,0,0.05,0.15,0
Asia,Male,child,0.225,0,0,0,0,0.7,1,0.1,0.85,0.2,0.5,0.8,0,0.53,0.51,0.1,0.17,0.31,0.5,0.78,0.44,0.72,0.38,0.15,0.01,0.07,0.01,0.01,0.05,0.15,0.55,0.3
Asia,Male,teenager,0.225,0,0,0,0,0.7,1,0.1,0.85,0.2,0.5,0.8,0.62,0.53,0.51,0.1,0.17,0.31,0.5,0.78,1.69,0.72,0.38,0.15,0.01,0.07,0.01,0.01,0.05,0.15,0.55,0.3
Asia,Male,adult,0.225,0.36,0.3775,0.4775,0.54,0.7,1,0.1,0.85,0.2,0.5,0.8,0.62,0.53,0.51,0.1,0.17,0.31,0.5,0.78,3.3,0.72,0.535,0.15,0.00001,0.005,0.15,0.15,0.05,0.25,0.62,0.35
Asia,Male,elder,0.225,0.405,0.4275,0.5275,0.59,0.7,1,0.1,0.85,0.2,0.5,0.8,0.62,0.53,0.51,0.1,0.17,0.31,0.5,0.78,1.11,0.72,0.545,0.15,0.00001,0.1,0.62,0.62,0.1,0.3,0.2,0.12
Asia,Female,infant,0.225,0,0,0,0,0.7,1,0.1,0.85,0.2,0.5,0.8,0,0,0.53,0.1,0.17,0.31,0.5,0.75,0.04,0.72,0.29,0.15,0.05,0.45,0,0,0,0.05,0.15,0
Asia,Female,child,0.225,0,0,0,0,0.7,1,0.1,0.85,0.2,0.5,0.8,0,0.53,0.53,0.1,0.17,0.31,0.5,0.75,0.38,0.72,0.343,0.15,0.0001,0.09,0.001,0.001,0.07,0.1,0.3,0.33
Asia,Female,teenager,0.225,0,0,0,0,0.7,1,0.1,0.85,0.2,0.5,0.8,0.62,0.53,0.53,0.1,0.17,0.31,0.5,0.75,1.49,0.72,0.343,0.15,0.0001,0.09,0.001,0.001,0.07,0.1,0.3,0.33
Asia,Female,adult,0.225,0.305,0.3225,0.4225,0.485,0.7,1,0.1,0.85,0.2,0.5,0.8,0.62,0.53,0.53,0.1,0.17,0.31,0.5,0.75,3.4,0.72,0.455,0.15,0.0001,0.05,0.1,0.12,0.05,0.25,0.2,0.37
Asia,Female,elder,0.225,0.355,0.3725,0.4725,0.535,0.7,1,0.1,0.85,0.2,0.5,0.8,0.62,0.53,0.53,0.1,0.17,0.31,0.5,0.75,1.18,0.72,0.495,0.15,0.00001,0.02,0.55,0.55,0.05,0.27,0.1,0.11
Native America  ,Male,infant,0.275,0,0,0,0,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0,0,0.57,0.3,0.17,0.3,0.47,0.35,0.007,0.65,0.39,0.4,0.0001,0.37,0,0,0.02,0,0,0.1
Native America  ,Male,child,0.275,0,0,0,0,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0,0.29,0.57,0.3,0.17,0.3,0.47,0.35,0.0374,0.65,0.435,0.4,0.0001,0.15,0.02,0.01,0.15,0.05,0.25,0.35
Native America  ,Male,teenager,0.275,0,0,0,0,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0.52,0.29,0.57,0.3,0.17,0.3,0.47,0.35,0.1284,0.65,0.435,0.4,0.0001,0.15,0.02,0.01,0.15,0.05,0.25,0.35
Native America  ,Male,adult,0.275,0.4425,0.3575,0.4275,0.4275,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0.52,0.29,0.57,0.3,0.17,0.3,0.47,0.35,0.19,0.65,0.61,0.4,0.02,0.09,0.25,0.3,0,0.1,0.55,0.5
Native America  ,Male,elder,0.275,0.4925,0.4075,0.4775,0.4775,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0.52,0.29,0.57,0.3,0.17,0.3,0.47,0.35,0.0275,0.65,0.625,0.4,0.02,0.02,0.37,0.37,0,0.3,0.1,0.55
Native America  ,Female,infant,0.275,0,0,0,0,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0,0,0.585,0.3,0.17,0.3,0.45,0.52,0.006,0.65,0.39,0.4,0.0001,0.37,0,0,0.02,0,0,0.1
Native America  ,Female,child,0.275,0,0,0,0,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0,0.29,0.585,0.3,0.17,0.3,0.45,0.52,0.03718,0.65,0.41,0.4,0.0001,0.1,0.02,0.01,0.15,0.05,0.25,0.3
Native America  ,Female,teenager,0.275,0,0,0,0,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0.52,0.29,0.585,0.3,0.17,0.3,0.45,0.52,0.1264,0.65,0.41,0.4,0.0001,0.1,0.02,0.01,0.15,0.05,0.25,0.3
Native America  ,Female,adult,0.275,0.295,0.3025,0.3725,0.3725,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0.52,0.29,0.585,0.3,0.17,0.3,0.45,0.52,0.2,0.65,0.535,0.4,0.05,0.1,0.1,0.1,0.05,0.1,0.25,0.4
Native America  ,Female,elder,0.275,0.345,0.3525,0.4225,0.4225,1.2,0.5,0.12,0.25,0.9,0.8,0.7,0.52,0.29,0.585,0.3,0.17,0.3,0.45,0.52,0.0279,0.65,0.57,0.4,0.02,0.02,0.37,0.37,0,0.3,0.1,0.55
India,Male,infant,0.47,0,0,0,0,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0,0,0.42,0.27,0.17,0.45,0.01,0.5,0.09,0.55,0.515,0.12,0.3,0.7,0,0,0,0,0,0
India,Male,child,0.47,0,0,0,0,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0,0.36,0.42,0.27,0.17,0.45,0.01,0.5,0.54,0.55,0.45,0.12,0.15,0.5,0.01,0.01,0.05,0.1,0.2,0.15
India,Male,teenager,0.47,0,0,0,0,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0.44,0.36,0.42,0.27,0.17,0.45,0.01,0.5,2.65,0.55,0.45,0.12,0.15,0.5,0.01,0.01,0.05,0.1,0.2,0.15
India,Male,adult,0.47,0.5,0.4575,0.43,0.4825,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0.44,0.36,0.42,0.27,0.17,0.45,0.01,0.5,4.15,0.55,0.645,0.12,0.1,0.1,0.15,0.25,0.1,0.15,0.4,0.34
India,Male,elder,0.47,0.55,0.5075,0.48,0.5325,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0.44,0.36,0.42,0.27,0.17,0.45,0.01,0.5,0.65,0.55,0.64,0.12,0.0001,0.09,0.4,0.6,0.1,0.25,0.15,0.05
India,Female,infant,0.47,0,0,0,0,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0,0,0.42,0.27,0.17,0.45,0.01,0.5,0.08,0.55,0.515,0.12,0.3,0.7,0,0,0,0,0,0
India,Female,child,0.47,0,0,0,0,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0,0.36,0.42,0.27,0.17,0.45,0.01,0.5,0.54,0.55,0.4365,0.12,0.15,0.5,0.01,0.01,0.05,0.03,0.2,0.05
India,Female,teenager,0.47,0,0,0,0,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0.44,0.36,0.42,0.27,0.17,0.45,0.01,0.5,2.48,0.55,0.4365,0.12,0.15,0.5,0.01,0.01,0.05,0.03,0.2,0.05
India,Female,adult,0.47,0.445,0.4025,0.375,0.4275,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0.44,0.36,0.42,0.27,0.17,0.45,0.01,0.5,3.85,0.55,0.545,0.12,0.12,0.15,0.1,0.1,0.05,0.05,0.25,0.34
India,Female,elder,0.47,0.495,0.4525,0.425,0.4775,0.57,0.65,1.87,0.1,0.98,0.05,0.47,0.44,0.36,0.42,0.27,0.17,0.45,0.01,0.5,0.685,0.55,0.6375,0.12,0.001,0.13,0.3,0.3,0.1,0.3,0.15,0.05
Oceania,Male,infant,0.2,0,0,0,0,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0,0,0.3,0,0.01,0.26,0.01,0.77,0.0024,0.3,0.685,0.02,0.3,0.55,0,0,0,0,0.1,0
Oceania,Male,child,0.2,0,0,0,0,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0,0,0.3,0,0.01,0.26,0.01,0.77,0.01,0.3,0.57,0.02,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.4
Oceania,Male,teenager,0.2,0,0,0,0,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0.51,0,0.3,0,0.01,0.26,0.01,0.77,0.036,0.3,0.57,0.02,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.4
Oceania,Male,adult,0.2,0.41,0.4,0.4,0.4,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0.51,0,0.3,0,0.01,0.26,0.01,0.77,0.035,0.3,0.645,0.02,0.15,0.35,0.35,0.35,0.15,0.2,0.3,0.4
Oceania,Male,elder,0.2,0.46,0.45,0.45,0.45,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0.51,0,0.3,0,0.01,0.26,0.01,0.77,0.00185,0.3,0.69785,0.02,0.5,0.2,0.65,0.65,0.1,0.25,0.09,0.09
Oceania,Female,infant,0.2,0,0,0,0,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0,0,0.3,0,0.01,0.26,0.01,0.77,0.00192,0.3,0.695,0.02,0.3,0.55,0,0,0,0,0.1,0
Oceania,Female,child,0.2,0,0,0,0,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0,0,0.3,0,0.01,0.26,0.01,0.77,0.009,0.3,0.57,0.02,0.25,0.45,0.05,0.05,0.05,0.05,0.15,0.1
Oceania,Female,teenager,0.2,0,0,0,0,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0.51,0,0.3,0,0.01,0.26,0.01,0.77,0.032,0.3,0.57,0.02,0.25,0.45,0.05,0.05,0.05,0.05,0.15,0.1
Oceania,Female,adult,0.2,0.3825,0.345,0.345,0.345,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0.51,0,0.3,0,0.01,0.26,0.01,0.77,0.034,0.3,0.64,0.02,0.45,0.25,0.35,0.35,0.1,0.25,0.2,0.12
Oceania,Female,elder,0.2,0.4325,0.395,0.395,0.395,0.6,0.3,0.0001,0.1,0.6,0.5,0.3,0.51,0,0.3,0,0.01,0.26,0.01,0.77,0.00163,0.3,0.7,0.02,0.5,0.2,0.65,0.65,0.1,0.25,0.09,0.09
US and AUS,Male,infant,0.455,0,0,0,0,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0,0,0.7,0.75,0.55,0.4625,0.74,0.83,0.0187,0.75,0.425,0.62,0.1,0.3,0,0,0.1,0,0,0.1
US and AUS,Male,child,0.455,0.54,0.556875,0.51,0.470625,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0,0.56,0.7,0.75,0.55,0.4625,0.74,0.83,0.095,0.75,0.44,0.62,0,0.09,0.1,0.1,0.25,0.1,0.3,0.1
US and AUS,Male,teenager,0.455,0.6125,0.57175,0.54,0.480375,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0.6,0.56,0.7,0.75,0.55,0.4625,0.74,0.83,0.41,0.75,0.44,0.62,0,0.09,0.1,0.1,0.25,0.1,0.3,0.1
US and AUS,Male,adult,0.455,0.725,0.6025,0.5475,0.495,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0.6,0.56,0.7,0.75,0.55,0.5875,0.74,0.83,0.76,0.75,0.535,0.62,0,0.02,0.05,0.05,0.02,0.05,0.5,0.5
US and AUS,Male,elder,0.455,0.775,0.6525,0.5975,0.545,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0.6,0.56,0.7,0.75,0.55,0.4625,0.74,0.83,0.22,0.75,0.53,0.62,0,0.01,0.35,0.35,0.2,0.4,0.1,0.15
US and AUS,Female,infant,0.455,0,0,0,0,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0,0,0.7,0.75,0.55,0.4825,0.74,0.77,0.0173,0.75,0.425,0.62,0.1,0.3,0,0,0.1,0,0,0.1
US and AUS,Female,child,0.455,0.525,0.501875,0.455,0.415625,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0,0.56,0.7,0.75,0.55,0.4825,0.74,0.77,0.0901,0.75,0.44,0.62,0,0.09,0.1,0.1,0.25,0.1,0.3,0.1
US and AUS,Female,teenager,0.455,0.5695,0.51675,0.485,0.452875,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0.6,0.56,0.7,0.75,0.55,0.4825,0.74,0.77,0.4,0.75,0.44,0.62,0,0.09,0.1,0.1,0.25,0.1,0.3,0.1
US and AUS,Female,adult,0.455,0.67,0.5475,0.4925,0.44,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0.6,0.56,0.7,0.75,0.55,0.6075,0.74,0.77,0.75,0.75,0.58,0.62,0,0.02,0.05,0.05,0.02,0.05,0.5,0.5
US and AUS,Female,elder,0.455,0.72,0.5975,0.5425,0.49,0.85,1.2,0.5,0.2,-0.1,0.5,0.7,0.6,0.56,0.7,0.75,0.55,0.4825,0.74,0.77,0.29,0.75,0.55,0.62,0,0.01,0.35,0.35,0.2,0.4,0.1,0.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
